Dr,h,RowPosition,ColumnPosition,Width,Length,Space_norm,Eff
40,1,1,1,1,5,3,0.686
40,1,1,2,1,5,3,0.6567
40,1,1,3,1,5,3,0.6363
40,1,1,1,5,2,3,1.417
40,1,2,1,5,2,3,0.9879
40,1,3,1,5,2,3,0.859
40,1,4,1,5,2,3,0.8157
40,1,5,1,5,2,3,0.7775
40,1,1,3,3,5,3,1.1562
40,1,1,2,3,5,3,1.0615
40,1,1,1,3,5,3,1.0633
40,1,2,3,3,5,3,0.8378
40,1,2,2,3,5,3,0.7561
40,1,2,1,3,5,3,0.7819
40,1,3,3,3,5,3,0.6738
40,1,3,2,3,5,3,0.5965
40,1,3,1,3,5,3,0.6332
40,2,5,1,5,1,3,0.8
40,2,4,1,5,1,3,0.83
40,2,3,1,5,1,3,0.88
40,2,2,1,5,1,3,0.92
40,2,1,1,5,1,3,1.2
40,3,1,1,2,5,3,0.8589
40,3,1,2,2,5,3,0.8242
40,3,1,3,2,5,3,0.7982
40,3,2,1,2,5,3,0.3974
40,3,2,2,2,5,3,0.3465
40,3,2,3,2,5,3,0.3364
40,4,1,1,2,5,3,0.7256
40,4,1,2,2,5,3,0.6985
40,4,1,3,2,5,3,0.6746
40,4,2,1,2,5,3,0.2953
40,4,2,2,2,5,3,0.2633
40,4,2,3,2,5,3,0.2552
40,5,5,1,5,1,3,0.6
40,5,4,1,5,1,3,0.63
40,5,3,1,5,1,3,0.75
40,5,2,1,5,1,3,0.81
40,5,1,1,5,1,3,1.06
40,5,1,1,1,5,3,0.3407
40,5,1,2,1,5,3,0.3177
40,5,1,3,1,5,3,0.302
40,6,1,1,3,5,3,0.7987
40,6,1,2,3,5,3,0.734
40,6,1,3,3,5,3,0.7386
40,6,2,1,3,5,3,0.4796
40,6,2,2,3,5,3,0.3609
40,6,2,3,3,5,3,0.367
40,6,3,1,3,5,3,0.3406
40,6,3,2,3,5,3,0.2614
40,6,3,3,3,5,3,0.2704
40,7,1,1,1,5,3,0.273
40,7,1,2,1,5,3,0.2516
40,7,1,3,1,5,3,0.2365
40,9,1,1,2,5,3,0.5438
40,9,1,2,2,5,3,0.5164
40,9,1,3,2,5,3,0.4957
40,9,2,1,2,5,3,0.1353
40,9,2,2,2,5,3,0.0997
40,9,2,3,2,5,3,0.0942
40,10,1,1,1,5,3,0.2235
40,10,1,2,1,5,3,0.1554
40,10,1,3,1,5,3,0.1421
40,10,5,1,5,1,3,0.39
40,10,4,1,5,1,3,0.38
40,10,3,1,5,1,3,0.49
40,10,2,1,5,1,3,0.6
40,10,1,1,5,1,3,0.79
40,10,1,3,3,5,3,0.5726
40,10,1,2,3,5,3,0.522
40,10,1,1,3,5,3,0.5264
40,10,2,3,3,5,3,0.3494
40,10,2,2,3,5,3,0.2601
40,10,2,1,3,5,3,0.266
40,10,3,3,3,5,3,0.1822
40,10,3,2,3,5,3,0.1303
40,10,3,1,3,5,3,0.1373
65,1,1,1,5,3,3,1.196548894
65,1,1,2,5,3,3,1.13728713
65,1,2,1,5,3,3,0.90131756
65,1,2,2,5,3,3,0.760772898
65,1,3,1,5,3,3,0.814714572
65,1,3,2,5,3,3,0.704676251
65,1,4,1,5,3,3,0.799966474
65,1,4,2,5,3,3,0.68454072
65,1,5,1,5,3,3,0.767641876
65,1,5,2,5,3,3,0.68662835
65,6,1,1,5,3,3,1.0677219
65,6,1,2,5,3,3,1.017686115
65,6,2,1,5,3,3,0.75040209
65,6,2,2,5,3,3,0.683059176
65,6,3,1,5,3,3,0.633427448
65,6,3,2,5,3,3,0.546218375
65,6,4,1,5,3,3,0.561505216
65,6,4,2,5,3,3,0.491535929
65,6,5,1,5,3,3,0.494229645
65,6,5,2,5,3,3,0.4575951
65,2,5,1,5,1,3,0.8466
65,2,4,1,5,1,3,0.8695
65,2,3,1,5,1,3,0.8738
65,2,2,1,5,1,3,0.8925
65,2,1,1,5,1,3,1.0988
40,2,1,1,2,5,3,0.954
40,2,1,2,2,5,3,0.9176
40,2,1,3,2,5,3,0.8143
40,2,2,1,2,5,3,0.453
40,2,2,2,2,5,3,0.4499
40,2,2,3,2,5,3,0.4357
65,4,1,1,1,5,3,0.35961116
65,4,1,2,1,5,3,0.316781067
65,4,1,3,1,5,3,0.301898283
65,5,5,1,5,1,3,0.66
65,5,4,1,5,1,3,0.75
65,5,3,1,5,1,3,0.79
65,5,2,1,5,1,3,0.82
65,5,1,1,5,1,3,1.03
40,6,1,1,2,5,3,0.6513
40,6,1,2,2,5,3,0.6246
40,6,1,3,2,5,3,0.6022
40,6,2,1,2,5,3,0.2179
40,6,2,2,2,5,3,0.1796
40,6,2,3,2,5,3,0.1723
65,8,1,1,1,5,3,0.22924
65,8,1,2,1,5,3,0.19024
65,8,1,3,1,5,3,0.17671
40,8,1,1,2,5,3,0.481
40,8,1,2,2,5,3,0.4529
40,8,1,3,2,5,3,0.4331
40,8,2,1,2,5,3,0.1244
40,8,2,2,2,5,3,0.0988
40,8,2,3,2,5,3,0.0837
65,10,5,1,5,1,3,0.46
65,10,4,1,5,1,3,0.47
65,10,3,1,5,1,3,0.59
65,10,2,1,5,1,3,0.66
65,10,1,1,5,1,3,0.84
80,1,5,1,5,2,3,0.83
80,1,4,1,5,2,3,0.83
80,1,3,1,5,2,3,0.84
80,1,2,1,5,2,3,0.92
80,1,1,1,5,2,3,1.23
80,1,1,1,1,5,3,0.6345
80,1,1,2,1,5,3,0.5743
80,1,1,3,1,5,3,0.5565
80,1,1,1,2,5,3,1.0813
80,1,1,2,2,5,3,1.002
80,1,1,3,2,5,3,0.9723
80,1,2,1,2,5,3,0.7613
80,1,2,2,2,5,3,0.6827
80,1,2,3,2,5,3,0.6647
80,2,5,1,5,1,3,0.85
80,2,4,1,5,1,3,0.85
80,2,3,1,5,1,3,0.84
80,2,2,1,5,1,3,0.86
80,2,1,1,5,1,3,1.04
80,1,5,1,5,1,5,1.3
80,1,4,1,5,1,5,1.3
80,1,3,1,5,1,5,1.29
80,1,2,1,5,1,5,1.31
80,1,1,1,5,1,5,1.52
80,5,5,1,5,1,3,0.74
80,5,4,1,5,1,3,0.76
80,5,3,1,5,1,3,0.79
80,5,2,1,5,1,3,0.81
80,5,1,1,5,1,3,0.99
80,5,5,1,5,2,3,0.56
80,5,4,1,5,2,3,0.61
80,5,3,1,5,2,3,0.68
80,5,2,1,5,2,3,0.81
80,5,1,1,5,2,3,1.16
80,5,1,1,1,5,3,0.2961
80,5,1,2,1,5,3,0.2487
80,5,1,3,1,5,3,0.2354
80,8,1,1,1,5,3,0.215
80,8,1,2,1,5,3,0.1706
80,8,1,3,1,5,3,0.1582
80,10,1,1,3,5,3,0.64
80,10,1,2,3,5,3,0.5856
80,10,1,3,3,5,3,0.6188
80,10,2,1,3,5,3,0.4012
80,10,2,2,3,5,3,0.2864
80,10,2,3,3,5,3,0.3135
80,10,3,1,3,5,3,0.2515
80,10,3,2,3,5,3,0.2072
80,10,3,3,3,5,3,0.2264
80,10,1,1,1,5,3,0.1853
80,10,1,2,1,5,3,0.1785
80,10,1,3,1,5,3,0.155
80,10,5,1,5,1,3,0.5
80,10,4,1,5,1,3,0.56
80,10,3,1,5,1,3,0.64
80,10,2,1,5,1,3,0.69
80,10,1,1,5,1,3,0.85
80,10,5,1,5,2,3,0.36
80,10,4,1,5,2,3,0.35
80,10,3,1,5,2,3,0.46
80,10,2,1,5,2,3,0.55
80,10,1,1,5,2,3,0.74
80,9,5,1,5,1,5,0.85
80,9,4,1,5,1,5,0.95
80,9,3,1,5,1,5,1.11
80,9,2,1,5,1,5,1.17
80,9,1,1,5,1,5,1.4
80,10,1,1,2,5,3,0.4969
80,10,1,2,2,5,3,0.4311
80,10,1,3,2,5,3,0.4111
80,10,2,1,2,5,3,0.2228
80,10,2,2,2,5,3,0.1897
80,10,2,3,2,5,3,0.1841
65,4,1,1,5,2,3,1.1957
65,4,2,1,5,2,3,0.856
65,4,3,1,5,2,3,0.7479
65,4,4,1,5,2,3,0.6894
65,4,5,1,5,2,3,0.6102
40,6,1,1,5,2,5,1.4751
40,6,2,1,5,2,5,1.2404
40,6,3,1,5,2,5,1.0588
40,6,4,1,5,2,5,0.8692
40,6,5,1,5,2,5,0.811
40,8,1,1,5,2,5,1.3242
40,8,2,1,5,2,5,1.1395
40,8,3,1,5,2,5,0.8814
40,8,4,1,5,2,5,0.6982
40,8,5,1,5,2,5,0.6932
