Dr,h,RowPosition,ColumnPosition,Width,Length,Space_norm,Eff,Diameter,GroupID
80,5,1,1,2,5,3,0.7273,0.36,1
80,5,1,2,2,5,3,0.6596,0.36,1
80,5,1,3,2,5,3,0.6376,0.36,1
80,5,2,1,2,5,3,0.3948,0.36,1
80,5,2,2,2,5,3,0.3348,0.36,1
80,5,2,3,2,5,3,0.3221,0.36,1
40,5,1,1,5,2,3,1.1693,0.36,5
40,5,2,1,5,2,3,0.7742,0.36,5
40,5,3,1,5,2,3,0.616,0.36,5
40,5,4,1,5,2,3,0.4897,0.36,5
40,5,5,1,5,2,3,0.4966,0.36,5
65,8,1,1,5,2,3,1.060834437,0.36,2
65,8,2,1,5,2,3,0.719218543,0.36,2
65,8,3,1,5,2,3,0.581384106,0.36,2
65,8,4,1,5,2,3,0.479192053,0.36,2
65,8,5,1,5,2,3,0.418496689,0.36,2
80,10,1,1,5,3,2,0.645,0.36,3
80,10,1,2,5,3,2,0.6024,0.36,3
80,10,2,1,5,3,2,0.3727,0.36,3
80,10,2,2,5,3,2,0.3355,0.36,3
80,10,3,1,5,3,2,0.2799,0.36,3
80,10,3,2,5,3,2,0.1914,0.36,3
80,10,4,1,5,3,2,0.2331,0.36,3
80,10,4,2,5,3,2,0.1531,0.36,3
80,10,5,1,5,3,2,0.2319,0.36,3
80,10,5,2,5,3,2,0.1881,0.36,3
40,10,1,1,5,2,3,0.913,0.6,4
40,10,2,1,5,2,3,0.576,0.6,4
40,10,3,1,5,2,3,0.3185,0.6,4
40,10,4,1,5,2,3,0.2564,0.6,4
40,10,5,1,5,2,3,0.3275,0.6,4
